return period,return value,lower ci,upper ci
2.0,8.086051335246676,6.820212225059602,9.698922633619066
5.0,12.006050592293061,10.361362673369264,14.781184795713235
10.0,14.60143119084777,12.579586530343432,18.263016028364525
25.0,17.880701457342226,15.33526059768245,22.718526222906426
50.0,20.31345147181299,17.361705742545325,26.03736696985991
100.0,22.728238442047722,19.36440600827676,29.35108314107939
